__________________________________________________________________________________

Uk³ad M/M/1/RNT
Œrednia liczba zg³oszeñ na jednostkê czasu : 	   1.000
Œrednia wydajnoœæ stanowiska obs³ugi : 		   2.000
Pojedynczy kwant czasu : 			1000.000


    t		n	k	s
   0.000	1	0	1
   0.414	2	1	1
   0.453	1	0	1
   0.709	0	0	0
   0.908	1	0	1
   1.051	0	0	0
   3.062	1	0	1
   3.122	0	0	0
   4.254	1	0	1
   4.437	0	0	0
   4.511	1	0	1
   5.011	0	0	0
   6.756	1	0	1
   7.090	2	1	1
   7.293	3	2	1
   7.323	4	3	1
   8.163	5	4	1
   8.292	4	3	1
   8.673	3	2	1
   9.252	4	3	1
   9.426	5	4	1
   9.486	4	3	1
   9.970	5	4	1
  10.337	4	3	1
  10.357	3	2	1
  10.511	2	1	1
  10.831	3	2	1
  11.275	2	1	1
  11.403	1	0	1
  11.749	2	1	1
  11.830	1	0	1
  11.895	0	0	0
  13.871	1	0	1
  14.046	2	1	1
  14.314	1	0	1
  14.345	2	1	1
  14.891	1	0	1
  14.892	0	0	0
  16.764	1	0	1
  17.291	2	1	1
  17.310	1	0	1
  17.507	2	1	1
  17.829	1	0	1
  17.898	2	1	1
  18.249	1	0	1
  18.760	2	1	1
  19.062	1	0	1
  19.594	0	0	0
  21.269	1	0	1
  22.220	0	0	0
  23.803	1	0	1
  23.929	0	0	0
  25.145	1	0	1
  25.187	0	0	0
  27.218	1	0	1
  28.291	2	1	1
  28.760	1	0	1
  29.358	2	1	1
  29.715	3	2	1
  29.795	2	1	1
  30.663	1	0	1
  30.718	0	0	0
  30.814	1	0	1
  31.755	0	0	0
  31.800	1	0	1
  32.069	0	0	0
  32.136	1	0	1
  32.701	0	0	0
  34.363	1	0	1
  35.105	0	0	0
  36.800	1	0	1
  37.643	0	0	0
  39.393	1	0	1
  39.499	2	1	1
  39.648	1	0	1
  40.069	2	1	1
  40.482	3	2	1
  41.217	2	1	1
  41.233	1	0	1
  41.898	0	0	0
  42.072	1	0	1
  42.120	0	0	0
  43.815	1	0	1
  44.546	2	1	1
  44.857	1	0	1
  44.918	2	1	1
  44.972	1	0	1
  45.348	0	0	0
  45.352	1	0	1
  45.446	0	0	0
  47.106	1	0	1
  47.284	0	0	0
  48.408	1	0	1
  48.583	0	0	0
  50.643	1	0	1
  50.778	0	0	0
  55.842	1	0	1
  56.496	0	0	0
  56.574	1	0	1
  57.365	0	0	0
  57.620	1	0	1
  57.714	2	1	1
  57.725	1	0	1
  58.113	0	0	0
  58.433	1	0	1
  58.552	0	0	0
  61.409	1	0	1
  61.469	0	0	0
  62.245	1	0	1
  62.568	2	1	1
  63.117	1	0	1
  63.742	0	0	0
  64.680	1	0	1
  64.852	0	0	0
  65.525	1	0	1
  65.588	0	0	0
  67.439	1	0	1
  67.607	0	0	0
  69.163	1	0	1
  69.172	0	0	0
  70.453	1	0	1
  70.687	2	1	1
  70.723	3	2	1
  71.030	2	1	1
  71.111	1	0	1
  71.995	0	0	0
  72.930	1	0	1
  73.313	0	0	0
  73.639	1	0	1
  73.879	2	1	1
  74.694	3	2	1
  74.831	2	1	1
  75.273	3	2	1
  75.661	2	1	1
  75.726	3	2	1
  76.663	2	1	1
  76.939	1	0	1
  77.287	2	1	1
  77.547	3	2	1
  78.063	4	3	1
  78.521	3	2	1
  78.642	2	1	1
  79.119	3	2	1
  79.619	2	1	1
  79.877	3	2	1
  80.129	2	1	1
  80.317	3	2	1
  80.372	4	3	1
  80.568	5	4	1
  80.704	6	5	1
  81.540	7	6	1
  81.587	6	5	1
  82.126	5	4	1
  82.222	4	3	1
  82.256	3	2	1
  82.374	4	3	1
  82.493	5	4	1
  82.795	4	3	1
  82.802	5	4	1
  83.188	6	5	1
  83.452	5	4	1
  84.468	4	3	1
  84.519	3	2	1
  84.553	2	1	1
  84.607	3	2	1
  85.508	4	3	1
  85.532	3	2	1
  85.786	2	1	1
  86.329	1	0	1
  86.785	2	1	1
